,precursor_name,updated_precursor_name
1625,PS(14:0_20:0),PS(14:0_20:0)
1626,PS(14:0_20:1),PS(14:0_20:1)
1627,PS(14:0_20:3),PS(14:0_20:3)
1628,PS(14:0_20:4),PS(14:0_20:4)
1629,PS(14:0_20:5),PS(14:0_20:5)
1630,PS(14:0_22:4),PS(14:0_22:4)
1631,PS(14:0_22:5),PS(14:0_22:5)
1632,PS(14:0_22:6),PS(14:0_22:6)
1633,PS(14:1_14:1),PS(14:1_14:1)
1634,PS(15:0_16:0),PS(15:0_16:0)
1635,PS(15:0_16:1),PS(15:0_16:1)
1636,PS(15:0_18:0),PS(15:0_18:0)
1637,PS(15:0_18:1),PS(15:0_18:1)
1638,PS(15:0_18:2),PS(15:0_18:2)
1639,PS(15:0_19:0),PS(15:0_19:0)
1640,PS(15:0_20:0),PS(15:0_20:0)
1641,PS(15:0_20:2),PS(15:0_20:2)
1642,PS(15:0_20:3),PS(15:0_20:3)
1643,PS(15:0_20:4),PS(15:0_20:4)
1644,PS(15:0_20:5),PS(15:0_20:5)
1645,PS(15:0_22:4),PS(15:0_22:4)
1646,PS(15:0_22:5),PS(15:0_22:5)
1647,PS(15:0_22:6),PS(15:0_22:6)
1648,PS(16:0_16:0),PS(16:0_16:0)
1649,PS(16:0_16:1),PS(16:0_16:1)
1650,PS(16:0_17:0),PS(16:0_17:0)
1651,PS(16:0_18:0),PS(16:0_18:0)
1652,PS(16:0_18:1),PS(16:0_18:1)
1653,PS(16:0_18:2),PS(16:0_18:2)
1654,PS(16:0_18:3),PS(16:0_18:3)
1655,PS(16:0_19:0),PS(16:0_19:0)
1656,PS(16:0_20:0),PS(16:0_20:0)
1657,PS(16:0_20:1),PS(16:0_20:1)
1658,PS(16:0_20:3),PS(16:0_20:3)
1659,PS(16:0_20:4),PS(16:0_20:4)
1660,PS(16:0_22:4),PS(16:0_22:4)
1661,PS(16:0_22:5),PS(16:0_22:5)
1662,PS(16:0_22:6),PS(16:0_22:6)
1663,PS(16:1_16:1),PS(16:1_16:1)
1664,PS(16:1_17:0),PS(16:1_17:0)
1665,PS(16:1_18:0),PS(16:1_18:0)
1666,PS(16:1_18:1),PS(16:1_18:1)
1667,PS(16:1_18:2),PS(16:1_18:2)
1668,PS(16:1_18:3),PS(16:1_18:3)
1669,PS(16:1_19:0),PS(16:1_19:0)
1670,PS(16:1_20:0),PS(16:1_20:0)
1671,PS(16:1_20:1),PS(16:1_20:1)
1672,PS(16:1_20:2),PS(16:1_20:2)
1673,PS(16:1_20:3),PS(16:1_20:3)
1674,PS(16:1_20:4),PS(16:1_20:4)
1675,PS(16:1_20:5),PS(16:1_20:5)
1676,PS(16:1_22:4),PS(16:1_22:4)
1677,PS(16:1_22:5),PS(16:1_22:5)
1678,PS(16:1_22:6),PS(16:1_22:6)
1679,PS(17:0_17:0),PS(17:0_17:0)
1680,PS(17:0_18:0),PS(17:0_18:0)
1681,PS(17:0_18:1),PS(17:0_18:1)
